CROP_GROUP,GROUP_NAME
1,BARLEY
2,WHEAT
3,COMMON OAT
4,TRITICALE
5,CEREALS
6,CLOVERS
7,LEGUMES
8,POTATOES
9,PEPPER
10,LAND LYING FALLOW
11,PERMANENT GRASSLAND
12,OKRA
13,GRASSES
14,CEREALS-LEGUMES MIXTURES
15,TARO ROOT
16,SQUASHES
17,ARTICHOKES
18,EGGPLANTS
19,TOMATOES
20,PEAS
21,STRAWBERRIES
22,VARIOUS VEGETABLES
23,FENNEL
24,CRUCIFERS/LETTUCE
25,BEETS/CARROTS/LEAFY
26,SWEET POTATO
28,RAPESEED
29,STEVIA
30,ALLIUM SP.: ONIONS / LEEK / GARLIC
31,TOBACCO
32,SUGAR CANE
33,COTTON
34,VARIOUS FLOWERS
35,OLIVES
36,WALNUTS
37,PISTACHIOS
38,FIGS
39,SWEET PRICKLY PEAR
40,CAROB TREES
41,CITRUS TREES
42,BANANAS
43,WINE VINEYARDS
44,TABLE VINEYARDS
45,ORCHARD / VARIUS FRUIT TREES/VEGETABLES
46,TRADITIONAL VINEYARDS
47,TRADITIONAL TREES
48,DECIDUOUS FRUIT TREES
49,DAMASK ROSE
50,TREE CROPS
51,SHRUB CROPS
52,MINORITY CROPS
53,GREENHOUSES
